deli_num,hyp_num,url_len,nor_tld_token,sus_word_token
5,5,45,0,0
5,5,45,0,0
5,5,41,1,0
5,5,45,0,0
5,5,43,1,0
5,5,45,0,0
5,5,44,0,0
5,5,43,0,0
5,5,46,0,0
5,5,44,0,0
5,5,44,1,0
5,5,44,0,0
5,5,46,0,0
5,5,43,1,0
5,5,45,0,0
5,5,47,0,0
5,5,45,0,0
5,5,44,1,0
5,5,49,0,0
5,5,45,0,0
5,5,44,0,0
5,5,44,0,0
5,5,44,1,0
5,5,44,1,0
5,5,46,0,0
5,5,44,0,0
5,5,45,1,0
5,5,43,1,0
5,5,42,1,0
5,5,47,0,0
5,5,45,1,0
0,0,17,0,0
5,5,42,1,0
5,5,42,1,0
5,5,44,0,0
5,5,43,1,0
5,5,47,0,0
5,5,44,0,0
5,5,45,0,0
5,5,44,1,0
5,5,45,0,0
5,5,42,1,0
5,5,46,0,0
5,5,46,0,0
5,5,46,0,0
5,5,44,1,0
5,5,44,0,0
5,5,44,1,0
5,5,45,0,0
5,5,43,1,0
5,5,45,1,0
5,5,43,1,0
5,5,45,0,0
0,0,23,0,0
5,5,43,1,0
5,5,45,0,0
5,5,44,1,0
5,5,47,0,0
5,5,45,0,0
5,5,42,1,0
5,5,43,1,0
5,5,46,0,0
5,5,47,0,0
5,5,45,1,0
5,5,46,0,0
5,5,44,0,0
5,5,46,0,0
5,5,43,1,0
5,5,43,1,0
5,5,44,0,0
5,5,42,1,0
5,5,44,1,0
0,0,8,0,0
5,5,43,1,0
5,5,43,1,0
5,5,44,1,0
5,5,49,0,0
5,5,42,1,0
5,5,45,0,0
5,5,43,1,0
5,5,46,0,0
5,5,45,0,0
5,5,46,0,0
5,5,46,0,0
5,5,43,1,0
5,5,46,0,0
5,5,43,1,0
5,5,44,1,0
5,5,46,0,0
5,5,44,0,0
5,5,46,0,0
5,5,47,0,0
5,5,42,1,0
5,5,45,1,0
5,5,44,1,0
5,5,47,0,0
5,5,45,0,0
5,5,42,1,0
5,5,44,1,0
5,5,44,0,0
5,5,48,0,0
5,5,45,1,0
5,5,45,0,0
5,5,46,0,0
5,5,45,0,0
5,5,49,0,0
5,5,46,0,0
5,5,45,0,0
5,5,45,0,0
5,5,44,1,0
5,5,45,0,0
5,5,41,1,0
5,5,43,1,0
5,5,45,1,0
5,5,44,1,0
5,5,43,1,0
5,5,47,0,0
5,5,46,0,0
5,5,46,0,0
5,5,44,0,0
5,5,44,0,0
5,5,44,0,0
5,5,44,0,0
5,5,42,1,0
5,5,46,0,0
5,5,44,1,0
5,5,44,1,0
5,5,45,0,0
5,5,46,0,0
5,5,45,1,0
0,0,35,0,0
5,5,46,0,0
5,5,45,1,0
5,5,47,0,0
5,5,43,1,0
5,5,44,1,0
5,5,44,0,0
0,0,17,0,0
5,5,42,0,0
5,5,43,1,0
5,5,45,0,0
5,5,43,1,0
5,5,43,1,0
5,5,44,1,0
0,0,17,0,0
5,5,45,0,0
5,5,45,0,0
5,5,43,1,0
5,5,47,0,0
5,5,45,1,0
5,5,43,1,0
5,5,44,0,0
5,5,44,0,0
5,5,46,0,0
0,0,14,0,1
5,5,43,1,0
5,5,44,1,0
5,5,45,1,0
5,5,42,1,0
5,5,45,0,0
5,5,46,0,0
5,5,45,0,0
0,0,10,1,1
0,0,21,0,0
5,5,44,1,0
5,5,46,0,0
5,5,47,0,0
5,5,45,0,0
5,5,44,1,0
5,5,43,1,0
5,5,45,0,0
5,5,45,1,0
5,5,44,0,0
5,5,47,0,0
5,5,45,0,0
5,5,46,0,0
5,5,44,1,0
5,5,41,1,0
5,5,45,0,0
5,5,46,0,0
5,5,44,0,0
5,5,43,1,0
5,5,44,1,0
5,5,44,0,0
0,0,22,1,0
5,5,46,0,0
5,5,46,0,0
5,5,44,0,0
0,0,17,0,0
5,5,43,1,0
5,5,45,0,0
5,5,43,1,0
5,5,43,1,0
5,5,45,0,0
5,5,45,0,0
5,5,42,1,0
5,5,44,0,0
0,0,16,1,1
5,5,45,1,0
5,5,42,1,0
0,0,12,0,0
5,5,44,0,0
5,5,44,0,0
5,5,42,1,0
5,5,46,0,0
5,5,44,1,0
5,5,46,0,0
5,5,41,1,0
5,5,44,1,0
5,5,46,0,0
5,5,44,0,0
5,5,43,1,0
0,0,28,0,0
5,5,45,1,0
5,5,44,1,0
5,5,43,1,0
5,5,43,1,0
5,5,43,1,0
5,5,46,0,0
5,5,42,1,0
5,5,45,1,0
5,5,47,0,0
5,5,43,1,0
5,5,46,0,0
5,5,44,1,0
5,5,46,0,0
5,5,44,1,0
5,5,45,0,0
5,5,45,1,0
5,5,46,0,0
5,5,44,1,0
5,5,45,0,0
5,5,41,1,0
5,5,43,1,0
5,5,43,1,0
5,5,58,0,0
5,5,45,0,0
5,5,43,1,0
5,5,43,1,0
5,5,44,1,0
5,5,43,1,0
5,5,43,1,0
5,5,46,0,0
5,5,45,1,0
5,5,46,0,0
5,5,43,1,0
5,5,45,0,0
5,5,45,0,0
5,5,42,1,0
5,5,46,0,0
5,5,48,0,0
5,5,45,1,0
5,5,45,0,0
5,5,44,0,0
5,5,48,0,0
5,5,45,0,0
5,5,44,1,0
5,5,45,0,0
5,5,45,0,0
5,5,44,1,0
5,5,46,0,0
5,5,44,0,0
5,5,47,0,0
5,5,43,1,0
